task,demo,selection_family,method_label,source_group,run_root,eval_root,step_dir,round_index,camera,total_videos,camera_videos,num_cameras,success_mean,success_pct,reward_mean,status
can,5,matched_vs_ours,Pi0droid LoRA + SAILOR best round,ours,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can5_24000_main_clean_demos5/seed555/SAILOR_eval_videos/step_round_10,10,all,10,10,2,0.400000,40.00,-158.996000,selected
can,10,latest,Step init,ours,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.180000,18.00,-170.290000,selected
can,10,latest,Latest distilled Pi0Jax,ours,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos/step_round_40,40,all,10,10,2,0.000000,0.00,-198.686000,selected
can,10,latest,Latest round of SAILOR training,ours,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/SAILOR_eval_videos/step_round_40,40,all,10,10,2,0.000000,0.00,-197.300000,selected
can,10,best,Step init,ours,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.180000,18.00,-170.290000,selected
can,10,best,Best distilled Pi0Jax,ours,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos/step_round_0,0,all,10,10,2,0.180000,18.00,-170.600000,selected
can,10,best,Best round of SAILOR training,ours,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/SAILOR_eval_videos/step_round_0,0,all,10,10,2,0.280000,28.00,-162.510000,selected
can,10,official_vs_ours,DP + SAILOR step_init,official,/OFFICIAL/robomimic__can/can_10demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos10/seed1,/OFFICIAL/robomimic__can/can_10demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos10/seed1/DP_Distilled_eval_videos,/OFFICIAL/robomimic__can/can_10demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos10/seed1/DP_Distilled_eval_videos/step_init,,all,10,10,2,0.320000,32.00,-158.102000,selected
can,10,official_vs_ours,DP + SAILOR best round,official,/OFFICIAL/robomimic__can/can_10demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos10/seed1,/OFFICIAL/robomimic__can/can_10demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos10/seed1/SAILOR_eval_videos,/OFFICIAL/robomimic__can/can_10demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos10/seed1/SAILOR_eval_videos/step_round_90,90,all,10,10,2,0.860000,86.00,-86.958000,selected
can,10,official_vs_ours,Pi0droid LoRA + SAILOR step_init,ours,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can10_24000_main_clean_demos10/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.180000,18.00,-170.290000,selected
